image_id,x0,y0,x1,y1
11789,176,136,282,155
11790,44,183,381,70
11791,437,42,397,379
11792,291,180,246,275
11793,169,122,198,167
11794,109,179,292,362
11795,80,168,525,322
11796,290,192,187,137
11797,68,63,483,278
11798,121,121,308,171
11799,179,145,318,213
11800,68,163,506,147
11801,85,85,500,363
11802,69,110,751,237
11803,38,102,543,121
11804,248,118,389,403
11805,183,88,239,313
11806,269,52,161,284
11807,117,76,336,291
11808,394,103,337,471
11809,122,119,259,457
11810,114,65,536,633
11811,0,212,296,431
11812,34,236,250,387
11813,0,3,294,481
11814,0,7,249,468
11815,11,46,418,305
11816,44,39,592,668
11817,68,98,401,390
11818,117,15,384,420
11819,307,140,551,539
11820,58,193,482,533
11821,110,124,289,423
11822,77,71,635,366
11823,105,70,367,309
11824,189,70,586,274
11825,66,107,518,353
11826,145,32,617,279
11827,0,19,795,580
11828,333,116,269,148
11829,103,23,277,204
11830,329,70,318,239
11831,316,174,293,228
11832,36,135,340,293
11833,279,164,677,482
11834,186,18,412,393
11835,364,9,392,613
11836,39,123,343,181
11837,244,97,589,522
11838,7,187,478,208
11839,180,43,324,388
11840,348,109,262,115
11841,212,88,257,206
11842,298,147,160,188
11843,333,213,135,286
11844,325,117,304,402
11845,77,73,557,362
11846,483,156,262,431
11847,350,140,86,158
11848,119,276,244,336
11849,163,220,408,336
11850,133,150,197,262
11851,120,158,274,408
11852,225,124,195,208
11853,253,171,178,422
11854,336,235,196,300
11855,145,321,121,296
11856,303,156,197,196
11857,76,102,356,254
11858,55,174,530,355
11859,156,100,181,273
11860,408,102,360,330
11861,211,255,103,273
11862,148,90,172,291
11863,227,121,357,336
11864,440,120,299,424
11865,363,63,348,471
11866,126,46,288,305
11867,196,205,277,174
11868,441,108,171,262
11869,260,108,170,225
11870,289,192,327,230
11871,23,0,410,432
11872,156,156,292,228
11873,170,55,302,274
11874,48,102,585,381
11875,87,133,241,221
11876,158,166,197,414
11877,62,54,443,401
11878,102,113,340,293
11879,206,75,223,299
11880,150,89,286,284
11881,301,57,196,236
11882,172,34,365,275
11883,172,89,622,393
11884,138,43,381,325
11885,61,127,494,618
11886,125,305,211,322
11887,289,301,173,481
11888,237,111,432,240
11889,183,105,161,322
11890,129,143,233,555
11891,245,113,112,282
11892,0,263,331,416
11893,211,88,209,213
11894,54,125,344,183
11895,268,161,309,196
11896,78,100,291,318
11897,104,130,235,237
11898,136,108,260,286
11899,170,51,303,340
11900,283,192,408,382
11901,197,187,190,110
11902,236,148,223,175
11903,202,106,108,93
11904,235,206,407,152
11905,123,69,452,192
11906,264,35,162,336
11907,251,101,237,70
11908,25,81,285,500
11909,252,19,168,441
11910,0,84,322,266
11911,136,79,356,207
11912,275,37,337,523
11913,151,135,240,151
11914,180,62,182,304
11915,152,19,222,341
11916,49,107,180,190
11917,466,154,384,413
11918,55,29,268,453
11919,57,76,389,217
11920,407,83,177,468
11921,124,56,691,480
11922,277,189,295,202
11923,179,66,271,390
11924,180,217,409,236
11925,368,125,176,335
11926,146,92,205,415
11927,212,59,180,439
11928,154,41,196,333
11929,164,103,186,185
11930,319,68,150,375
11931,76,60,292,209
11932,263,91,468,375
11933,183,143,404,454
11934,128,135,410,262
11935,151,46,370,348
11936,87,70,557,607
11937,170,140,310,203
11938,381,100,243,382
11939,27,46,409,400
11940,181,5,531,365
11941,97,58,271,459
11942,177,204,279,339
11943,244,72,358,520
11944,269,137,151,281
11945,179,256,434,102
11946,123,138,646,451
11947,226,58,214,265
11948,324,240,369,171
11949,136,80,169,282
11950,283,108,253,508
11951,20,91,358,302
11952,168,79,198,322
11953,187,58,190,250
11954,199,186,334,265
11955,203,219,332,388
11956,372,221,172,269
11957,12,96,623,350
11958,375,219,267,261
11959,77,112,706,373
11960,139,113,430,327
11961,293,120,158,225
11962,0,160,476,254
11963,272,149,585,407
11964,251,198,171,243
11965,171,131,267,226
11966,274,176,157,171
11967,177,32,167,399
11968,117,31,240,391
11969,211,56,375,578
11970,461,48,239,514
11971,207,71,257,314
11972,343,127,268,416
11973,182,167,105,301
11974,44,219,280,333
11975,212,52,158,313
11976,277,105,282,204
11977,187,117,375,208
11978,173,124,288,142
11979,188,164,528,651
11980,129,36,218,442
11981,201,148,393,355
11982,17,88,326,427
11983,300,87,223,265
11984,241,155,175,298
11985,321,120,106,186
11986,256,161,93,212
11987,203,146,361,237
11988,204,95,124,276
11989,155,127,165,150
11990,234,193,385,159
11991,93,75,444,305
11992,235,191,481,232
11993,162,147,136,121
11994,197,97,198,254
11995,10,105,323,219
11996,232,188,310,322
11997,229,153,160,203
11998,215,148,292,389
11999,34,230,747,634
12000,75,130,219,149
12001,263,109,186,190
12002,41,119,415,340
12003,150,118,105,172
12004,315,98,203,269
12005,356,12,225,492
12006,38,91,336,455
12007,74,133,263,428
12008,108,171,594,421
12009,71,137,524,196
12010,82,66,363,258
12011,281,56,300,476
12012,99,151,546,303
12013,198,64,490,481
12014,56,52,336,301
12015,33,0,579,432
12016,222,98,562,385
12017,246,149,569,260
12018,211,219,551,155
12019,58,47,411,321
12020,118,116,465,173
12021,163,89,542,364
12022,203,146,265,186
12023,307,100,159,198
12024,312,104,610,458
12025,353,130,203,432
12026,203,113,507,507
12027,220,103,530,524
12028,449,122,275,445
12029,287,169,486,311
12030,199,58,127,208
12031,261,181,202,196
12032,81,269,533,282
12033,247,119,349,284
12034,161,123,385,161
12035,223,19,262,334
12036,275,77,425,348
12037,260,236,492,246
12038,207,80,333,172
12039,25,129,386,155
12040,97,46,598,315
12041,141,48,112,92
12042,89,158,227,141
12043,237,140,283,165
12044,299,169,480,280
12045,114,141,604,279
12046,44,70,401,203
12047,322,193,447,236
12048,144,101,222,178
12049,215,44,284,248
12050,78,137,338,164
12051,243,133,119,94
12052,176,89,244,147
12053,110,131,352,154
12054,205,35,303,235
12055,260,185,344,129
12056,323,219,247,442
12057,234,85,214,382
12058,196,94,215,275
12059,279,127,110,223
12060,323,149,104,265
12061,93,116,592,425
12062,124,212,647,376
12063,273,100,242,250
12064,48,101,265,348
12065,254,242,310,294
12066,212,97,110,190
12067,111,95,258,236
12068,235,259,315,342
12069,42,165,504,395
12070,319,179,597,429
12071,0,47,443,411
12072,142,105,395,450
12073,143,104,196,257
12074,111,257,153,129
12075,75,107,367,173
12076,291,59,665,429
12077,211,150,177,81
12078,223,239,170,93
12079,156,176,467,190
12080,209,132,128,50
12081,73,21,651,466
12082,138,221,412,168
12083,181,61,204,222
12084,524,255,301,293
12085,20,96,649,295
12086,153,26,378,295
12087,127,56,694,438
12088,4,74,389,366
12089,37,39,376,392
12090,148,85,311,273
12091,170,164,540,231
12092,113,122,354,270
12093,87,122,339,141
12094,150,85,226,321
12095,55,129,243,185
12096,147,12,227,411
12097,234,109,333,205
12098,82,120,333,270
12099,26,98,501,327
12100,136,88,550,675
