image_id,x0,y0,x1,y1
0/0.jpeg,156,163,318,230
0/1.jpeg,143,142,394,248
0/2.jpeg,28,94,485,303
0/3.jpeg,34,79,485,270
0/4.jpeg,53,132,427,298
0/5.jpeg,70,162,410,326
0/5.jpeg,71,305,140,473
0/5.jpeg,110,286,209,477
0/5.jpeg,158,290,244,500
0/6.jpeg,98,92,346,311
0/7.jpeg,0,74,434,284
0/8.jpeg,195,216,347,314
0/8.jpeg,322,222,492,324
0/9.jpeg,30,222,464,356
1/0.jpeg,32,69,429,375
1/1.jpeg,150,358,237,402
1/1.jpeg,221,375,307,432
1/1.jpeg,237,325,299,366
1/1.jpeg,207,322,241,347
1/2.jpeg,40,70,72,89
1/2.jpeg,210,52,260,79
1/2.jpeg,233,100,258,145
1/2.jpeg,311,86,347,129
1/2.jpeg,413,77,464,103
1/2.jpeg,440,63,462,85
1/2.jpeg,463,124,498,155
1/2.jpeg,169,151,212,178
1/2.jpeg,331,29,343,49
1/2.jpeg,286,27,302,55
1/2.jpeg,88,151,147,187
1/2.jpeg,221,152,255,176
1/2.jpeg,245,158,263,200
1/2.jpeg,210,164,233,196
1/2.jpeg,205,184,219,222
1/2.jpeg,160,191,193,226
1/2.jpeg,147,183,215,203
1/3.jpeg,207,31,355,184
1/3.jpeg,310,109,500,269
1/4.jpeg,113,91,332,218
1/4.jpeg,190,198,403,338
1/4.jpeg,68,128,168,214
1/5.jpeg,0,161,186,293
1/5.jpeg,284,97,382,164
1/5.jpeg,124,64,152,117
1/5.jpeg,187,180,325,311
1/5.jpeg,302,15,403,78
1/5.jpeg,76,0,186,38
1/5.jpeg,397,7,439,45
1/5.jpeg,190,210,432,337
1/5.jpeg,37,166,140,225
1/6.jpeg,1,106,372,301
1/7.jpeg,37,14,269,259
1/7.jpeg,268,58,425,180
1/7.jpeg,432,134,500,259
1/7.jpeg,334,0,450,71
1/8.jpeg,42,96,312,265
1/9.jpeg,89,86,355,185
10/0.jpeg,64,60,417,241
10/1.jpeg,0,0,500,280
10/2.jpeg,155,58,398,279
10/3.jpeg,75,62,351,232
10/4.jpeg,139,69,436,285
10/5.jpeg,223,120,313,251
10/6.jpeg,193,105,413,261
10/7.jpeg,50,108,401,290
10/8.jpeg,169,70,499,270
10/9.jpeg,111,105,300,470
100/0.jpeg,52,44,500,218
100/1.jpeg,111,169,181,239
100/1.jpeg,271,225,333,241
100/1.jpeg,379,221,429,239
100/2.jpeg,139,0,500,332
100/3.jpeg,290,58,494,216
100/3.jpeg,0,21,289,239
100/4.jpeg,34,79,191,267
100/5.jpeg,38,41,66,68
100/5.jpeg,73,214,148,299
100/5.jpeg,180,85,200,111
100/5.jpeg,169,137,231,195
100/5.jpeg,394,163,462,207
100/5.jpeg,316,134,374,160
100/5.jpeg,136,206,171,235
100/5.jpeg,242,146,267,164
100/6.jpeg,190,91,329,185
100/7.jpeg,78,38,297,333
100/8.jpeg,0,35,371,331
100/9.jpeg,43,14,384,258
101/0.jpeg,8,180,78,259
101/0.jpeg,74,166,143,254
101/0.jpeg,137,195,196,225
101/0.jpeg,200,174,282,244
101/0.jpeg,234,228,271,268
101/0.jpeg,279,160,367,274
101/0.jpeg,351,200,414,286
101/0.jpeg,408,192,462,295
101/1.jpeg,186,76,478,341
101/2.jpeg,79,33,335,317
101/3.jpeg,110,29,447,255
101/4.jpeg,0,48,336,500
101/5.jpeg,109,7,499,332
101/6.jpeg,191,35,472,313
101/7.jpeg,220,41,328,236
101/8.jpeg,130,36,308,323
101/9.jpeg,1,4,327,489
102/0.jpeg,91,5,495,251
102/1.jpeg,145,61,465,274
102/2.jpeg,0,139,330,500
102/3.jpeg,9,53,447,358
102/4.jpeg,54,0,457,277
102/5.jpeg,33,126,295,405
102/6.jpeg,66,47,331,383
102/7.jpeg,144,47,359,227
102/8.jpeg,65,49,398,304
102/9.jpeg,34,0,499,294
103/0.jpeg,72,23,432,247
103/1.jpeg,44,113,454,253
103/2.jpeg,110,102,462,306
103/3.jpeg,127,74,382,170
103/4.jpeg,0,88,379,287
103/5.jpeg,86,105,269,134
103/5.jpeg,264,90,357,112
103/6.jpeg,71,175,413,233
103/7.jpeg,91,79,340,218
103/8.jpeg,119,109,411,149
103/9.jpeg,0,59,474,319
104/0.jpeg,17,9,339,498
104/1.jpeg,189,133,287,330
104/2.jpeg,125,73,292,207
104/3.jpeg,171,42,346,304
104/3.jpeg,241,95,480,200
104/4.jpeg,165,68,293,332
104/5.jpeg,0,28,284,317
104/6.jpeg,166,91,394,332
104/7.jpeg,4,5,390,330
104/8.jpeg,111,113,244,430
104/9.jpeg,36,41,461,500
105/0.jpeg,16,44,356,370
105/1.jpeg,26,56,328,468
105/2.jpeg,133,79,320,331
105/3.jpeg,126,14,487,331
105/4.jpeg,16,88,281,450
105/5.jpeg,64,9,299,295
105/6.jpeg,0,0,388,333
105/7.jpeg,47,33,279,315
105/7.jpeg,244,12,386,212
105/8.jpeg,71,0,448,334
105/9.jpeg,83,115,341,426
106/0.jpeg,0,0,420,305
106/1.jpeg,40,18,486,304
106/2.jpeg,134,95,500,323
106/3.jpeg,4,64,292,431
106/4.jpeg,75,104,480,316
106/5.jpeg,178,124,341,305
106/6.jpeg,140,67,336,212
106/7.jpeg,55,94,400,317
106/8.jpeg,59,25,387,302
106/9.jpeg,0,66,281,419
107/0.jpeg,0,111,38,161
107/0.jpeg,90,129,130,161
107/0.jpeg,185,0,245,59
107/0.jpeg,0,189,118,282
107/0.jpeg,162,289,185,308
107/0.jpeg,247,200,297,257
107/0.jpeg,284,174,344,226
107/1.jpeg,56,59,359,263
107/2.jpeg,117,0,499,311
107/2.jpeg,208,0,363,212
107/3.jpeg,0,112,262,500
107/3.jpeg,0,0,375,308
107/4.jpeg,22,38,259,284
107/4.jpeg,223,302,327,333
107/5.jpeg,139,2,336,306
107/5.jpeg,0,0,186,289
107/6.jpeg,118,51,353,304
107/7.jpeg,189,64,340,271
107/8.jpeg,1,20,370,296
107/9.jpeg,284,0,346,16
107/9.jpeg,278,9,355,181
107/9.jpeg,341,0,394,104
107/9.jpeg,449,0,500,74
107/9.jpeg,384,0,439,90
107/9.jpeg,408,0,464,164
107/9.jpeg,272,207,341,333
107/9.jpeg,209,0,306,314
107/9.jpeg,70,52,148,240
107/9.jpeg,0,222,74,275
107/9.jpeg,0,0,44,151
107/9.jpeg,0,0,159,335
108/0.jpeg,77,0,358,221
108/0.jpeg,0,130,268,468
108/1.jpeg,0,1,499,375
108/2.jpeg,0,0,375,500
108/3.jpeg,126,67,383,275
108/4.jpeg,58,173,219,350
108/5.jpeg,0,0,500,333
108/6.jpeg,272,123,361,207
108/7.jpeg,67,166,157,260
108/7.jpeg,1,170,74,346
108/7.jpeg,155,80,350,239
108/7.jpeg,347,145,477,348
108/7.jpeg,0,240,175,357
108/8.jpeg,74,0,192,102
108/8.jpeg,0,0,337,257
108/8.jpeg,76,123,324,333
108/8.jpeg,224,0,500,327
108/9.jpeg,53,93,128,210
108/9.jpeg,99,18,191,120
108/9.jpeg,223,45,285,131
108/9.jpeg,259,73,435,227
108/9.jpeg,115,90,265,205
108/9.jpeg,212,171,292,249
108/9.jpeg,362,62,459,179
109/0.jpeg,6,12,499,373
109/1.jpeg,82,149,210,291
109/1.jpeg,204,46,400,222
109/1.jpeg,124,58,225,147
109/2.jpeg,70,5,365,329
109/3.jpeg,113,68,357,319
109/4.jpeg,0,0,500,330
109/5.jpeg,0,0,500,329
109/6.jpeg,66,10,422,363
109/7.jpeg,0,0,499,374
109/8.jpeg,311,0,483,151
109/8.jpeg,13,14,423,389
109/8.jpeg,417,305,499,390
109/8.jpeg,1,76,87,147
109/9.jpeg,51,0,277,136
109/9.jpeg,257,58,428,257
11/0.jpeg,204,29,327,242
11/1.jpeg,202,79,412,289
11/2.jpeg,189,58,408,212
11/3.jpeg,208,84,444,318
11/4.jpeg,116,47,500,235
11/5.jpeg,235,179,384,231
11/6.jpeg,139,59,371,252
11/7.jpeg,66,98,338,295
11/8.jpeg,71,94,185,219
11/8.jpeg,219,185,374,288
11/9.jpeg,163,47,264,280
110/0.jpeg,86,52,383,289
110/1.jpeg,98,130,233,387
110/2.jpeg,13,103,485,189
110/3.jpeg,46,108,480,294
110/4.jpeg,94,74,382,290
110/5.jpeg,60,66,442,293
110/6.jpeg,0,0,362,484
110/7.jpeg,112,147,269,250
110/8.jpeg,136,83,373,298
110/9.jpeg,90,12,418,319
111/0.jpeg,17,19,341,463
111/1.jpeg,107,59,427,374
111/2.jpeg,197,52,391,362
111/3.jpeg,162,12,479,467
111/4.jpeg,34,3,288,500
111/5.jpeg,116,4,341,381
111/6.jpeg,129,53,389,202
111/7.jpeg,148,130,319,209
111/8.jpeg,175,45,335,302
111/9.jpeg,38,56,466,268
112/0.jpeg,178,91,435,242
112/1.jpeg,81,11,453,318
112/2.jpeg,21,157,78,223
112/2.jpeg,66,105,112,168
112/2.jpeg,128,66,177,135
112/2.jpeg,193,47,247,99
112/2.jpeg,62,229,110,287
112/2.jpeg,93,170,144,230
112/2.jpeg,152,141,210,212
112/2.jpeg,208,104,261,175
112/2.jpeg,153,234,198,286
112/2.jpeg,214,296,280,343
112/2.jpeg,236,232,296,293
112/2.jpeg,313,125,376,195
112/2.jpeg,321,65,367,127
112/2.jpeg,389,88,419,125
112/2.jpeg,376,123,426,170
112/2.jpeg,393,170,443,228
112/2.jpeg,352,240,433,310
112/2.jpeg,338,303,391,350
112/3.jpeg,50,31,453,250
112/3.jpeg,49,32,451,244
112/4.jpeg,24,90,355,295
112/5.jpeg,68,38,438,279
112/6.jpeg,115,246,285,439
112/7.jpeg,123,0,494,293
112/7.jpeg,0,0,169,98
112/7.jpeg,0,83,144,212
112/7.jpeg,403,0,500,73
112/8.jpeg,0,48,358,331
112/9.jpeg,0,119,53,200
112/9.jpeg,15,0,156,58
112/9.jpeg,118,21,195,99
112/9.jpeg,51,51,173,142
112/9.jpeg,45,125,200,251
112/9.jpeg,0,207,77,294
112/9.jpeg,16,261,175,333
112/9.jpeg,138,215,227,288
112/9.jpeg,164,101,261,211
112/9.jpeg,201,167,275,242
112/9.jpeg,188,307,228,333
112/9.jpeg,211,236,319,324
112/9.jpeg,211,0,321,103
112/9.jpeg,173,0,233,70
112/9.jpeg,315,0,400,24
112/9.jpeg,249,12,379,184
112/9.jpeg,308,226,452,333
112/9.jpeg,337,178,479,290
112/9.jpeg,344,6,456,71
112/9.jpeg,353,42,469,157
112/9.jpeg,433,33,500,154
112/9.jpeg,416,149,500,226
112/9.jpeg,96,239,157,288
112/9.jpeg,325,19,407,130
112/9.jpeg,245,151,329,278
112/9.jpeg,1,0,86,20
112/9.jpeg,444,199,500,318
113/0.jpeg,48,69,439,316
113/1.jpeg,149,240,312,441
113/2.jpeg,31,71,65,151
113/3.jpeg,152,85,340,217
113/4.jpeg,123,187,212,275
113/5.jpeg,191,104,428,234
113/6.jpeg,79,110,239,398
113/7.jpeg,120,142,344,293
113/8.jpeg,119,81,476,280
113/9.jpeg,51,77,356,364
114/0.jpeg,55,77,432,324
114/1.jpeg,173,134,353,295
114/2.jpeg,30,0,366,253
114/3.jpeg,139,133,342,210
114/4.jpeg,23,110,443,257
114/5.jpeg,82,120,475,317
114/6.jpeg,68,88,436,273
114/7.jpeg,32,3,457,350
114/8.jpeg,144,204,350,256
114/9.jpeg,101,219,222,306
115/0.jpeg,128,71,280,266
115/1.jpeg,114,58,242,347
115/2.jpeg,109,61,436,438
115/3.jpeg,112,134,198,309
115/4.jpeg,18,147,243,341
115/5.jpeg,90,43,333,345
115/5.jpeg,3,202,160,381
115/6.jpeg,143,41,393,278
115/7.jpeg,59,91,251,382
115/8.jpeg,62,0,500,374
115/9.jpeg,1,0,334,451
116/0.jpeg,114,26,497,330
116/1.jpeg,73,49,441,319
116/2.jpeg,130,93,361,250
116/3.jpeg,53,39,452,346
